año;rol_establecimiento;id_vu;nombre_establecimiento;razon_social;rut;ciiu4;id_ciiu4;ciiu6;id_ciiu6;latitud;longitud;id_comuna;comuna;provincia;id_region;region;rubro_vu;entrada_salida;cantidad_toneladas;tratamiento_nivel_3;id_tratamiento;tratamiento_nivel_1;id_tratamiento_nivel_1;capitulo_ler;subcapitulo_ler;nombre_ler;id_vu_trazabilidad;nombre_establecimiento_trazabilidad;razon_social_trazabilidad;rut_razon_social_trazabilidad;comuna_trazabilidad;id_comuna_trazabilidad;region_trazabilidad
2023;I.R.A.R;5491003;975188128;RECICLAJES RECICLADOS LIMITADA;76778636-0;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desechos metálicos (chatarra);G466902;-33,5885154;-70,646058;13112;La Pintana;Santiago;13;Metropolitana de Santiago;Comercio mayorista;1;19,98;Pretratamiento de Metales;44;Recolección;5;16 | Residuos no especificados en otro capítulo de la lista;01 | Vehículos de diferentes medios de transporte (incluidas las máquinas no de carretera) al final de su vida útil y residuos del desguace de vehículos al final de su vida útil y del mantenimiento de vehículos (excepto los de los capítulos 13, 14 y los subcapítulos 16 06 y 16 08);16 01 06 | Vehículos al final de su vida útil que no contengan líquidos ni otros componentes peligrosos;5491003;975188128;RECICLAJES RECICLADOS LIMITADA;76778636-0;La Pintana;13112;Metropolitana de Santiago
2023;I.R.A.R;5491003;975188128;RECICLAJES RECICLADOS LIMITADA;76778636-0;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desechos metálicos (chatarra);G466902;-33,5885154;-70,646058;13112;La Pintana;Santiago;13;Metropolitana de Santiago;Comercio mayorista;2;1,553;Valorización;2;Valorización;2;17 | Residuos de la construcción y demolición;04 | Metales (incluidas sus aleaciones);17 04 01 | Cobre, bronce, latón;5459127;R01G377;SOC COMERCIAL RECMETAL COMPANIA LIMITADA;77612130-4;Alto Hospicio;1107;Tarapacá
2023;I.R.A.R;5491003;975188128;RECICLAJES RECICLADOS LIMITADA;76778636-0;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desechos metálicos (chatarra);G466902;-33,5885154;-70,646058;13112;La Pintana;Santiago;13;Metropolitana de Santiago;Comercio mayorista;2;2,344;Reciclaje de metales;20;Valorización;2;17 | Residuos de la construcción y demolición;04 | Metales (incluidas sus aleaciones);17 04 02 | Aluminio;5476883;COMERCIAL HUAL LTDA;COMERCIAL HUAL LTDA;85051600-6;Maipú;13119;Metropolitana de Santiago
2023;I.R.A.R;5491003;975188128;RECICLAJES RECICLADOS LIMITADA;76778636-0;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desechos metálicos (chatarra);G466902;-33,5885154;-70,646058;13112;La Pintana;Santiago;13;Metropolitana de Santiago;Comercio mayorista;2;3,33;Reciclaje de metales;20;Valorización;2;17 | Residuos de la construcción y demolición;04 | Metales (incluidas sus aleaciones);17 04 07 | Metales mezclados;5470979;ESSAAR GROUP;VANADIUM SPA;77274772-1;San Bernardo;13401;Metropolitana de Santiago
2023;I.R.A.R;5491003;975188128;RECICLAJES RECICLADOS LIMITADA;76778636-0;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desechos metálicos (chatarra);G466902;-33,5885154;-70,646058;13112;La Pintana;Santiago;13;Metropolitana de Santiago;Comercio mayorista;2;4,452;Reciclaje de metales;20;Valorización;2;17 | Residuos de la construcción y demolición;04 | Metales (incluidas sus aleaciones);17 04 01 | Cobre, bronce, latón;5470979;ESSAAR GROUP;VANADIUM SPA;77274772-1;San Bernardo;13401;Metropolitana de Santiago
2023;I.R.A.R;5491003;975188128;RECICLAJES RECICLADOS LIMITADA;76778636-0;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desechos metálicos (chatarra);G466902;-33,5885154;-70,646058;13112;La Pintana;Santiago;13;Metropolitana de Santiago;Comercio mayorista;2;5,672;Reciclaje de metales;20;Valorización;2;17 | Residuos de la construcción y demolición;04 | Metales (incluidas sus aleaciones);17 04 01 | Cobre, bronce, latón;5459127;R01G377;SOC COMERCIAL RECMETAL COMPANIA LIMITADA;77612130-4;Alto Hospicio;1107;Tarapacá
2023;I.R.A.R;5491003;975188128;RECICLAJES RECICLADOS LIMITADA;76778636-0;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desechos metálicos (chatarra);G466902;-33,5885154;-70,646058;13112;La Pintana;Santiago;13;Metropolitana de Santiago;Comercio mayorista;2;6,955;Reciclaje de metales;20;Valorización;2;17 | Residuos de la construcción y demolición;04 | Metales (incluidas sus aleaciones);17 04 01 | Cobre, bronce, latón;5476883;COMERCIAL HUAL LTDA;COMERCIAL HUAL LTDA;85051600-6;Maipú;13119;Metropolitana de Santiago
2023;I.R.A.R;5491003;975188128;RECICLAJES RECICLADOS LIMITADA;76778636-0;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desechos metálicos (chatarra);G466902;-33,5885154;-70,646058;13112;La Pintana;Santiago;13;Metropolitana de Santiago;Comercio mayorista;2;212,91;Reciclaje de metales;20;Valorización;2;17 | Residuos de la construcción y demolición;04 | Metales (incluidas sus aleaciones);17 04 05 | Hierro y acero no galvanizados;;METAL SMART SPA;METAL SMART SPA;76727281-2;San Bernardo;13401;Metropolitana de Santiago
2023;I.R.A.R;5491003;975188128;RECICLAJES RECICLADOS LIMITADA;76778636-0;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desechos metálicos (chatarra);G466902;-33,5885154;-70,646058;13112;La Pintana;Santiago;13;Metropolitana de Santiago;Comercio mayorista;2;659,255;Pretratamiento de Metales;44;Recolección;5;17 | Residuos de la construcción y demolición;04 | Metales (incluidas sus aleaciones);17 04 05 | Hierro y acero no galvanizados;5482185;GUERRA GLOBAL TREDING AGENCIA EN CHILE;GUERRA GLOBAL TRADING, AGENCIA EN CHILE;59241870-3;Quilicura;13125;Metropolitana de Santiago
2023;I.R.A.R;5474989;ABUPLAST SPA;ABUPLAST SPA;76522291-5;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-33,41694404;-70,68240707;13128;Renca;Santiago;13;Metropolitana de Santiago;Gestores de residuos;1;18,326;Preparación para reutilización;7;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);20 01 39 | Plásticos;5474989;ABUPLAST SPA;ABUPLAST SPA;76522291-5;Renca;13128;Metropolitana de Santiago
