año;rol_establecimiento;id_vu;nombre_establecimiento;razon_social;rut_razon_social;ciiu4;id_ciiu4;ciiu6;id_ciiu6;latitud;longitud;id_comuna;comuna;provincia;region;rubro_vu;id_rubro_vu;cantidad_toneladas;tratamiento_nivel_3;id_tratamiento_nivel_3;tipo_lodo;capitulo_ler;subcapitulo_ler;nombre_ler;ler_codigo
2023;Lodos;322365;MINA REFUGIO;CIA MINERA MARICUNGA;78095890-1;Extracción de otros minerales metalíferos no ferrosos, excepto cobre;B0729;Extracción de oro y plata;B072910;-27,56825636;-69,26777948;3103;Tierra Amarilla;Copiapó;Atacama;Minería;4;0;Relleno Sanitario;11;Lodo Clase B;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;Lodos del tratamiento de aguas residuales urbanas;19 08 05
2023;Lodos;5464211;CENTRO INVESTIGACION ARICA;SYNGENTA S.A.;96920760-5;Propagación de plantas;A0130;Cultivo de plantas vivas incluida la producción en viveros (excepto viveros forestales);A013000;-18,51131528;-70,25815478;15101;Arica;Arica;Arica y Parinacota;Producción agropecuaria;1;34;Relleno Sanitario;11;Lodo Estabilizado;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;Lodos del tratamiento de aguas residuales urbanas;19 08 05
2023;Lodos;5458705;PTAS BUIN;AGUAS SAN PEDRO S A;99593190-7;Captación, tratamiento y distribución de agua;E3600;Captación, tratamiento y distribución de agua;E360000;-33,73094111;-70,74232428;13402;Buin;Maipo;Metropolitana de Santiago;Captación, tratamiento y distribución de agua;13;78,06;Relleno Sanitario;11;Lodo Clase B;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;Lodos del tratamiento de aguas residuales urbanas;19 08 05
2023;Lodos;5458707;PAP PTAS PTO MONT;AGUAS SAN PEDRO S A;99593190-7;Captación, tratamiento y distribución de agua;E3600;Captación, tratamiento y distribución de agua;E360000;-41,42335931;-72,91330975;10101;Puerto Montt;Llanquihue;Los Lagos;Captación, tratamiento y distribución de agua;13;1509;Relleno Sanitario;11;Lodo Clase B;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;Lodos del tratamiento de aguas residuales urbanas;19 08 05
2023;Lodos;5458718;PTAS CORONEL;AGUAS SAN PEDRO S A;99593190-7;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-36,97588125;-73,17509281;8102;Coronel;Concepción;Biobío;Gestores de residuos;15;4362;Aplicación al Suelo;31;Lodo Clase B;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;Lodos del tratamiento de aguas residuales urbanas;19 08 05
2023;Lodos;5458718;PTAS CORONEL;AGUAS SAN PEDRO S A;99593190-7;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-36,97588125;-73,17509281;8102;Coronel;Concepción;Biobío;Gestores de residuos;15;2822;Aplicación al Suelo;31;Lodo Clase B;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;Lodos del tratamiento de aguas residuales urbanas;19 08 05
2023;Lodos;5460241;PTAS EMAPAL;EMPRESA DE AGUA POTABLE LO AGUIRRE S A;96553330-3;Captación, tratamiento y distribución de agua;E3600;Captación, tratamiento y distribución de agua;E360000;-33,45719916;-70,81610784;13124;Pudahuel;Santiago;Metropolitana de Santiago;Captación, tratamiento y distribución de agua;13;18,26;Relleno Sanitario;11;Lodo Clase B;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;Lodos del tratamiento de aguas residuales urbanas;19 08 05
2023;Lodos;5480612;PTAS TRACHISA;AGUAS SAN PEDRO S A;99593190-7;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;-33,2054907;-70,6660035;13301;Colina;Chacabuco;Metropolitana de Santiago;Plantas de tratamiento de aguas servidas;14;309;Relleno Sanitario;11;Lodo Clase B;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;Lodos del tratamiento de aguas residuales urbanas;19 08 05
2023;Lodos;5463371;PLANTA DE TRATAMIENTO DE AGUA SERVIDA SANTA ELENA;EMPRESA DE SERVICIOS SANITARIOS AGUAS DE COLINA SA;96770130-0;Evacuación de aguas residuales;E3700;Evacuación y tratamiento de aguas servidas;E370000;-33,22281044;-70,73459418;13301;Colina;Chacabuco;Metropolitana de Santiago;Plantas de tratamiento de aguas servidas;14;314,91;Relleno Sanitario;11;Lodo Clase B;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;Lodos del tratamiento de aguas residuales urbanas;19 08 05
2023;Lodos;5474811;COOP SERV ABAST DISTR AGUA POT ALCAN SANEAM AMBIENT STA MARGARITA LTDA;"COOP SERV ABAST DISTR AGUA POT ALCAN SANEAM AMBIENT STA
            MARGARITA LTDA";84662500-3;Captación, tratamiento y distribución de agua;E3600;Captación, tratamiento y distribución de agua;E360000;-33,74231583;-70,86250881;13603;Isla de Maipo;Talagante;Metropolitana de Santiago;Captación, tratamiento y distribución de agua;13;142,92;Relleno Sanitario;11;Lodo Clase B;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría;Lodos del tratamiento de aguas residuales urbanas;19 08 05
